Month    ProductName  TotalQuantity
2022-06  JNE3468      20           
2022-06  JNE3463      20           
2022-06  JNE3366      20           
2022-06  JNE3334      20           
2022-06  J0379        20           
2022-06  J0353        20           
2022-06  J0341        20           
2022-06  J0301        20           
2022-06  J0041        20           
2022-06  J0009        20           
2022-06  J0006        20           
2022-06  SET374       19           
2022-06  SET328       19           
2022-06  SET293       19           
2022-06  SET288       19           
2022-06  SET288       19           
2022-06  SET233       19           
2022-06  SET145       19           
2022-06  MEN5032      19           
2022-06  MEN5008      19           
2022-06  MEN5004      19           
2022-06  JNE3904      19           
2022-06  JNE3837      19           
2022-06  JNE3837      19           
2022-06  JNE3802      19           
2022-06  JNE3800      19           
2022-06  JNE3797      19           
2022-06  JNE3721      19           
2022-06  JNE3619      19           
2022-06  JNE3613      19           
2022-06  JNE3458      19           
2022-06  JNE3363      19           
2022-06  JNE3334      19           
2022-06  JNE3291      19           
2022-06  J0349        19           
2022-06  J0285        19           
2022-06  J0005        19           
2022-06  J0005        19           
2022-06  J0002        19           
2022-06  SET436       18           
2022-06  SET350       18           
2022-06  SET343       18           
2022-06  SET343       18           
2022-06  SET340       18           
2022-06  SET327       18           
2022-06  SET324       18           
2022-06  NW005        18           
2022-06  JNE3878      18           
2022-06  JNE3878      18           
2022-06  JNE3878      18           
2022-06  JNE3810      18           
2022-06  JNE3803      18           
2022-06  JNE3800      18           
2022-06  JNE3793      18           
2022-06  JNE3709      18           
2022-06  JNE3639      18           
2022-06  JNE3634      18           
2022-06  JNE3614      18           
2022-06  JNE3468      18           
2022-06  JNE3458      18           
2022-06  JNE3399      18           
2022-06  J0341        18           
2022-06  J0335        18           
2022-06  J0117        18           
2022-06  J0003        18           
2022-06  SET405       17           
2022-06  SET396       17           
2022-06  SET363       17           
2022-06  SET310       17           
2022-06  SET310       17           
2022-06  SET293       17           
2022-06  SET251       17           
2022-06  SET203       17           
2022-06  SET184       17           
2022-06  SET014       17           
2022-06  MEN5004      17           
2022-06  JNE3905      17           
2022-06  JNE3860      17           
2022-06  JNE3837      17           
2022-06  JNE3798      17           
2022-06  JNE3797      17           
2022-06  JNE3793      17           
2022-06  JNE3738      17           
2022-06  JNE3633      17           
2022-06  JNE3560      17           
2022-06  JNE3510      17           
2022-06  JNE3458      17           
2022-06  JNE3440      17           
2022-06  JNE3405      17           
2022-06  JNE3399      17           
2022-06  JNE3160      17           
2022-06  JNE2270      17           
2022-06  J0354        17           
2022-06  J0301        17           
2022-06  J0281        17           
2022-06  J0280        17           
2022-06  J0244        17           
2022-06  J0244        17           
2022-06  J0157        17           
2022-06  J0041        17           
2022-06  J0012        17           
2022-06  J0008        17           
2022-06  SET408       16           
2022-06  SET402       16           
2022-06  SET397       16           
2022-06  SET356       16           
2022-06  SET348       16           
2022-06  SET343       16           
2022-06  SET340       16           
2022-06  SET319       16           
2022-06  SET293       16           
2022-06  SET288       16           
2022-06  SET278       16           
2022-06  SET217       16           
2022-06  SET171       16           
2022-06  SET145       16           
2022-06  PJNE2199     16           
2022-06  NW012        16           
2022-06  JNE3905      16           
2022-06  JNE3887      16           
2022-06  JNE3861      16           
2022-06  JNE3822      16           
2022-06  JNE3803      16           
2022-06  JNE3800      16           
2022-06  JNE3761      16           
2022-06  JNE3761      16           
2022-06  JNE3738      16           
2022-06  JNE3703      16           
2022-06  JNE3698      16           
2022-06  JNE3645      16           
2022-06  JNE3640      16           
2022-06  JNE3465      16           
2022-06  JNE3463      16           
2022-06  JNE3440      16           
2022-06  JNE3439      16           
2022-06  JNE3265      16           
2022-06  JNE3265      16           
2022-06  J0346        16           
2022-06  J0343        16           
2022-06  J0340        16           
2022-06  J0335        16           
2022-06  J0280        16           
2022-06  J0277        16           
2022-06  J0095        16           
2022-06  J0008        16           
2022-06  J0002        16           
2022-06  SET396       15           
2022-06  SET394       15           
2022-06  SET355       15           
2022-06  SET350       15           
2022-06  SET333       15           
2022-06  SET328       15           
2022-06  SET319       15           
2022-06  SET302       15           
2022-06  SET288       15           
2022-06  SET268       15           
2022-06  SET184       15           
2022-06  NW012        15           
2022-06  NW012        15           
2022-06  MEN5024      15           
2022-06  MEN5024      15           
2022-06  MEN5021      15           
2022-06  MEN5018      15           
2022-06  JNE3904      15           
2022-06  JNE3879      15           
2022-06  JNE3878      15           
2022-06  JNE3861      15           
2022-06  JNE3838      15           
2022-06  JNE3799      15           
2022-06  JNE3785      15           
2022-06  JNE3718      15           
2022-06  JNE3601      15           
2022-06  JNE3560      15           
2022-06  JNE3546      15           
2022-06  JNE3522      15           
2022-06  JNE3468      15           
2022-06  JNE3440      15           
2022-06  JNE3437      15           
2022-06  JNE3431      15           
2022-06  JNE3368      15           
2022-06  JNE3068      15           
2022-06  JNE2305      15           
2022-06  JNE1525      15           
2022-06  J0343        15           
2022-06  J0341        15           
2022-06  J0336        15           
2022-06  J0164        15           
2022-06  J0013        15           
2022-06  J0012        15           
2022-06  J0009        15           
2022-06  J0006        15           
2022-06  J0004        15           
2022-06  J0003        15           
2022-06  J0003        15           
2022-06  SET444       14           
2022-06  SET408       14           
2022-06  SET402       14           
2022-06  SET374       14           
2022-06  SET359       14           
2022-06  SET351       14           
2022-06  SET348       14           
2022-06  SET342       14           
2022-06  SET331       14           
2022-06  SET293       14           
2022-06  SET291       14           
2022-06  SET286       14           
2022-06  SET278       14           
2022-06  SET278       14           
2022-06  SET278       14           
2022-06  SET264       14           
2022-06  SET217       14           
2022-06  SET209       14           
2022-06  SET144       14           
2022-06  PSET264      14           
2022-06  PJNE3373     14           
2022-06  PJNE3252     14           
2022-06  PJNE3068     14           
2022-06  PJNE2014     14           
2022-06  NW005        14           
2022-06  NW004        14           
2022-06  MEN5021      14           
2022-06  JNE3905      14           
2022-06  JNE3887      14           
2022-06  JNE3860      14           
2022-06  JNE3860      14           
2022-06  JNE3799      14           
2022-06  JNE3794      14           
2022-06  JNE3794      14           
2022-06  JNE3718      14           
2022-06  JNE3620      14           
2022-06  JNE3611      14           
2022-06  JNE3601      14           
2022-06  JNE3522      14           
2022-06  JNE3484      14           
2022-06  JNE3465      14           
2022-06  JNE3465      14           
2022-06  JNE3461      14           
2022-06  JNE3458      14           
2022-06  JNE3431      14           
2022-06  JNE3431      14           
2022-06  JNE3405      14           
2022-06  JNE3396      14           
2022-06  JNE3373      14           
2022-06  JNE3294      14           
2022-06  JNE2270      14           
2022-06  JNE2171      14           
2022-06  J0413        14           
2022-06  J0399        14           
2022-06  J0399        14           
2022-06  J0348        14           
